firstName,lastName,email,role,department
John,Doe,john.doe@example.com,user,Engineering
Jane,Smith,jane.smith@example.com,manager,Marketing
Bob,Johnson,bob.johnson@example.com,admin,IT
Alice,Williams,alice.williams@example.com,user,Sales
Charlie,Brown,charlie.brown@example.com,manager,HR
Diana,Davis,diana.davis@example.com,user,Finance
Eve,Miller,eve.miller@example.com,admin,Operations
Frank,Wilson,frank.wilson@example.com,user,Support
Grace,Moore,grace.moore@example.com,manager,Legal
Henry,Taylor,henry.taylor@example.com,user,Engineering

